waktu,Fakultas,prodi,device,Gedung,lokasiakses,waktubermasalah,deskripsipengalaman,keluhanutama,yangdisukai,pesan,Tingkatkepuasan
2026/01/11 11:27:46 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung D,Perpustakaan;Ruang Kelas;Lab Komputer,Siang (11.00 - 14.00),mantap,kurang cepat,gratis,tolong kalau ada gangguan segera diperbaiki,Tidak Puas
2026/01/11 11:28:32 PM GMT+7,,,Smartphone,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),Lambat,Leket banget sih,Gratis,Semangattt,Tidak Puas
2026/01/11 11:28:43 PM GMT+7,Fakultas Ilmu Komputer,Sistem Informasi,Smartphone,Gedung C,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),terlalu lambat,kecepatan,tidak ada,tambah kecepatannya tolong,Sangat mengecewakan
2026/01/11 11:31:18 PM GMT+7,,,Laptop,Gedung D,Perpustakaan;Ruang Kelas;Kantin;Taman kampus;Lab Komputer,Siang (11.00 - 14.00),Lelet,"Kaya siput ih, gasuka",Gaada,Lebih bagusin lagi sih,Sangat mengecewakan
2026/01/11 11:33:10 PM GMT+7,,,Laptop,Gedung C,Kantin,Siang (11.00 - 14.00),Emosi,"Di kantin ga bisa di pake sih, gaada kayanya jatingannya disana",Gaada,Tolong adain juga dikantin dong yang buat mahasiswa,Tidak Puas
2026/01/11 11:34:27 PM GMT+7,FKIP,Pendidikan sekolah dasar,Laptop,Gedung G,Perpustakaan;Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),kurang,kecepatannya lambat,gratis,kecepatannya tambah,Tidak Puas
2026/01/11 11:34:29 PM GMT+7,,,Laptop,Gedung A,Perpustakaan;Ruang Kelas;Kantin;Taman kampus;Lab Komputer,Pagi (08.00 - 11.00),Lumayan,"Agak lelet ya, ga segacor cafe cafe tempat nugas yg ada di Padang sini",Gaada,Diperbanyak lagi aja sih di ,Tidak Puas
2026/01/11 11:35:30 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung D,Ruang Kelas;Kantin,Siang (11.00 - 14.00),lambat,kecepatannya,gratis,jangan sering gangguan,Puas
2026/01/11 11:38:12 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung C,Ruang Kelas;Kantin;Taman kampus,Sore (14.00 - 17.00),mantap,tidak ada,gratis,tidak ada,Puas
2026/01/11 11:43:44 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung B,Ruang Kelas;Kantin,,emosi,sering gangguan,gratis,tambah kecepatannya ,Puas
2026/01/11 11:45:30 PM GMT+7,Ilmu Komputer ,Sistem Informasi,Laptop,Gedung B,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),lambat,jelek,tidak ada,tidak ada,Sangat mengecewakan
2026/01/11 11:47:00 PM GMT+7,Ilmu Komputer ,Sistem Informasi ,Laptop,Gedung D,Ruang Kelas;Kantin,Sore (14.00 - 17.00),mantap,tidak ada,gratis jangkauan luas,tidak ada,Puas
2026/01/11 11:48:59 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung C,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),lambat,sejauh ini baik-baik saja ,"gratis, jarang gangguan","tidak ada, semangat",Puas
2026/01/11 11:51:09 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung C,Perpustakaan;Ruang Kelas;Kantin;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),luar biasa,kecepatan kurang,tidak ada,bagus,Sangat Puasa
2026/01/11 11:54:08 PM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung C,Ruang Kelas;Kantin;Lab Komputer,Sore (14.00 - 17.00),mantap,tidak ada,gratis,tidak ada,Puas
2026/01/11 11:55:24 PM GMT+7,Psikologi,Psikologi,Smartphone,Gedung C,Ruang Kelas;Taman kampus,Siang (11.00 - 14.00),kurang,sering gangguan,jangkauan luas,tidak ada,Netral
2026/01/11 11:59:13 PM GMT+7,DKV,DKV,Tablet,Gedung G,Perpustakaan;Ruang Kelas;Kantin,Siang (11.00 - 14.00),jelek,sinyalnya,jangkauan luas,tolong diapakan lah itu sinyalnya biar bagus,Tidak Puas
2026/01/12 12:00:23 AM GMT+7,Ilmu Komputer,Sistem Informasi,Laptop,Gedung C,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),jelek,sinyal tidak stabil,gratis,kurangi ngelagnya,Puas
2026/01/12 12:02:01 AM GMT+7,DKV,DKV,Smartphone,Gedung B,Ruang Kelas;Taman kampus,Sore (14.00 - 17.00),biasa,tidak ada,tidak ada,tidak ada,Puas
2026/01/12 12:05:14 AM GMT+7,Ilmu Komputer,Sistem Komputer,Laptop,Gedung B,Lab Komputer,Sore (14.00 - 17.00),Lelet,Kurang cepat ya kalo untuk internetan,Gratis,Semangat,Tidak Puas
2026/01/12 12:05:56 AM GMT+7,Ilmu Komputer ,Sistem Informasi,Laptop,Gedung C,Ruang Kelas;Kantin;Lab Komputer,Siang (11.00 - 14.00),bagus,mungkin sinyalnya kurang stabil,"gratis, jangkauan luas",kerja bagus,Sangat Puasa
2026/01/12 12:07:41 AM GMT+7,Ilmu Komputer,Sistem Informasi,Laptop,Gedung C,Ruang Kelas;Taman kampus;Lab Komputer,Sore (14.00 - 17.00),kurang bagus,lambat,gratis ,tidak ada,Puas
2026/01/12 12:08:04 AM GMT+7,,,Laptop,Gedung D,Ruang Kelas,Pagi (08.00 - 11.00),Lambat,Dipake internetan ga banget sih,Gaada,Lebih dibikin kenceng lagi dong,Tidak Puas
2026/01/12 12:08:33 AM GMT+7,Psikologi,Psikologi,Smartphone,Gedung F,Ruang Kelas;Kantin;Lab Komputer,Sore (14.00 - 17.00),lambat,kecepatan kurang,tidak ada,perbaiki lebih baik,Tidak Puas
2026/01/12 12:10:28 AM GMT+7,Psikologi,Psikologi,Laptop,Gedung C,Ruang Kelas,Sore (14.00 - 17.00),standar,kekuatan sinyal,gratis,tidak ada,Puas
2026/01/12 12:12:46 AM GMT+7,Ilmu Komputer,Sistem Informasi ,Laptop,Gedung C,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),lambat,kecepatan kurang cepat,gratis,tambah kecepatan,Sangat mengecewakan
2026/01/12 12:13:34 AM GMT+7,,,Laptop,Gedung B,Lab Komputer,Pagi (08.00 - 11.00),Lambat,"Sebetulnya dibeberapa lab aman sih, tapi ada juga lab yang ga bisa terjangkau wifi
",Gratis,Kalo bisa akses di semua lab dong,Tidak Puas
2026/01/12 12:13:36 AM GMT+7,FKIP,PGSD,Laptop,Gedung C,Ruang Kelas;Kantin,Siang (11.00 - 14.00),baik,sinyal,gratis,tidak ada,Puas
2026/01/12 12:14:59 AM GMT+7,Psikologi,Psikologi,Smartphone,Gedung D,Ruang Kelas;Kantin,Siang (11.00 - 14.00),lambat,kurang speednya,tidak ada,no comment,Netral
2026/01/12 12:29:11 AM GMT+7,Ilkom,Informatika,Laptop,Gedung C,Kantin;Lab Komputer,Siang (11.00 - 14.00),lambat,speed kurang,gaada,lemot banget wifinya,Tidak Puas
2026/01/12 12:29:34 AM GMT+7,Ekonomi dan Bisnis,Manajemen,Laptop,Gedung D,Perpustakaan;Ruang Kelas;Kantin,Pagi (08.00 - 11.00),Kurang,Kadang ga bisa dipake untuk internetan,Gratis,gaada,Sangat mengecewakan
2026/01/12 12:30:30 AM GMT+7,FKIP,PGSD,Smartphone,Gedung G,Ruang Kelas;Taman kampus,Siang (11.00 - 14.00),lemot,kurang bisa dinikmati,gratis,aman,Netral
2026/01/12 12:31:16 AM GMT+7,Ilmu Komputer,Sistem Informasi,Laptop,Gedung F,Ruang Kelas,Pagi (08.00 - 11.00),Jelek,"Setiap lahi kelas di gedung F, wifi ya gabisa digunain, mana jaringan internet disana jelek banget",Gaada,Perbaiki deh,Sangat mengecewakan
